# NQLabs BareMetalHost Inventory
#
# This CSV file is the single source of truth for all machines managed by
# Metal3.  Run `./generate.sh` after editing to regenerate the Kubernetes
# manifests (Secrets + BareMetalHosts) from this inventory.
#
# Columns:
#   name        — BareMetalHost name (must be unique, DNS-safe)
#   vmid        — Proxmox VM ID (for Proxmox VMs) or "physical" for bare metal
#   mac         — Boot MAC address (must match the VM/NUC network config)
#   bmc_address — Redfish/IPMI endpoint
#   cluster     — Target cluster label (nqlabs-management, nqlabs-staging, nqlabs-production)
#   role        — Node role (control-plane, worker)
#   provider    — Hardware provider (proxmox, physical)
#   accepted    — Whether Metal3 should manage this host (true/false)
#   online      — Whether the host should be powered on (true/false)
#   cores       — CPU cores (informational)
#   memory      — Memory in MB (informational)
#
# BMC credentials:
#   Proxmox VMs share a single Secret (proxmox-bmc) since they all use the
#   same proxmox-redfish daemon with the same Proxmox credentials.
#   Physical NUCs use per-host Secrets (see bmc_credentials column).
#   Values: "proxmox-shared" or a custom secret name.
#
# bmc_credentials — Name of the Kubernetes Secret with BMC credentials
#   Use "proxmox-shared" for all Proxmox VMs (shared Secret)
#   Use "<name>-bmc" for physical NUCs with unique credentials
#
# --- name,vmid,mac,bmc_address,cluster,role,provider,accepted,online,cores,memory,bmc_credentials
name,vmid,mac,bmc_address,cluster,role,provider,accepted,online,cores,memory,bmc_credentials
mgmt-01,101,BC:24:11:15:00:10,redfish-virtualmedia+https://192.168.15.20:8443/redfish/v1/Systems/101,nqlabs-management,control-plane,proxmox,false,true,8,38912,proxmox-shared
mgmt-02,102,BC:24:11:15:00:11,redfish-virtualmedia+https://192.168.15.20:8443/redfish/v1/Systems/102,nqlabs-management,control-plane,proxmox,false,true,8,38912,proxmox-shared
mgmt-03,103,BC:24:11:15:00:12,redfish-virtualmedia+https://192.168.15.20:8443/redfish/v1/Systems/103,nqlabs-management,control-plane,proxmox,false,true,8,38912,proxmox-shared
# Physical NUCs — no BMC (manual USB boot provisioning).
# Replace placeholder MACs with real ones when NUCs arrive.
# bmc_address=none and bmc_credentials=none → generate.sh skips BMC section.
stg-cp-01,physical,DE:AD:BE:EF:00:01,none,nqlabs-staging,control-plane,physical,false,true,4,16384,none
stg-cp-02,physical,DE:AD:BE:EF:00:02,none,nqlabs-staging,control-plane,physical,false,true,4,16384,none
stg-cp-03,physical,DE:AD:BE:EF:00:03,none,nqlabs-staging,control-plane,physical,false,true,4,16384,none
prd-cp-01,physical,DE:AD:BE:EF:00:04,none,nqlabs-production,control-plane,physical,false,true,4,16384,none
prd-cp-02,physical,DE:AD:BE:EF:00:05,none,nqlabs-production,control-plane,physical,false,true,4,16384,none
prd-cp-03,physical,DE:AD:BE:EF:00:06,none,nqlabs-production,control-plane,physical,false,true,4,16384,none
